,post_id,user_id,viewed,liked,category
299,151,141,1,0,Vible
300,151,148,1,0,Vible
301,151,149,1,0,Vible
302,151,151,1,1,Vible
303,151,152,1,0,Vible
304,151,154,1,0,Vible
305,151,155,1,0,Vible
306,151,162,1,0,Vible
307,151,163,1,0,Vible
308,151,164,1,0,Vible
309,151,166,1,0,Vible
310,151,167,1,0,Vible
311,151,170,1,1,Vible
312,151,174,1,0,Vible
313,151,178,1,0,Vible
314,151,181,1,0,Vible
315,151,184,1,0,Vible
316,151,194,1,0,Vible
317,151,240,1,0,Vible
318,151,243,1,0,Vible
319,151,289,1,0,Vible
320,151,355,1,0,Vible
321,151,357,1,0,Vible
322,151,368,1,0,Vible
323,151,603,0,1,Vible
324,152,1,0,1,Vible
325,152,47,1,0,Vible
326,153,1,0,1,Vible
327,153,47,1,0,Vible
328,153,155,1,0,Vible
329,153,167,1,0,Vible
330,153,194,1,0,Vible
331,154,1,0,1,Vible
332,154,47,1,0,Vible
333,154,149,1,0,Vible
334,154,155,1,0,Vible
335,154,167,1,0,Vible
336,155,1,0,1,Vible
337,155,9,0,1,Vible
338,155,47,1,0,Vible
339,155,149,1,0,Vible
340,155,155,1,0,Vible
341,155,167,1,0,Vible
342,156,170,1,0,Vible
343,158,1,0,1,Vible
344,158,9,0,1,Vible
345,158,47,1,0,Vible
346,158,155,1,0,Vible
347,158,167,1,0,Vible
348,158,194,1,0,Vible
349,159,1,0,1,Vible
350,159,5,0,1,Vible
351,159,9,0,1,Vible
352,159,19,0,1,Vible
353,159,26,1,0,Vible
354,159,47,1,0,Vible
355,159,151,1,1,Vible
356,159,155,1,0,Vible
357,159,167,1,0,Vible
358,159,170,1,0,Vible
359,159,173,1,0,Vible
360,159,174,1,0,Vible
361,159,175,1,0,Vible
362,159,177,1,0,Vible
363,159,178,1,0,Vible
364,159,184,1,0,Vible
365,159,185,1,0,Vible
366,159,187,0,1,Vible
367,159,188,1,0,Vible
368,159,192,1,0,Vible
369,159,207,1,1,Vible
370,159,208,1,0,Vible
371,159,212,1,0,Vible
372,159,214,1,0,Vible
373,159,216,1,0,Vible
374,159,218,1,1,Vible
375,159,223,1,0,Vible
376,159,224,1,0,Vible
377,159,226,1,0,Vible
378,159,240,1,0,Vible
379,159,241,1,1,Vible
380,159,243,1,0,Vible
381,159,246,1,1,Vible
382,159,249,1,0,Vible
383,159,252,1,0,Vible
384,159,254,0,1,Vible
385,159,257,1,0,Vible
386,159,262,1,0,Vible
387,159,269,1,0,Vible
388,159,279,1,0,Vible
389,159,295,1,0,Vible
390,159,320,1,0,Vible
391,159,332,1,1,Vible
392,159,334,1,1,Vible
393,159,335,1,0,Vible
394,159,344,1,0,Vible
395,159,352,1,0,Vible
396,159,353,1,0,Vible
397,159,355,1,0,Vible
398,159,359,1,0,Vible
399,159,361,1,0,Vible
400,159,368,1,1,Vible
401,159,370,1,0,Vible
402,159,440,0,1,Vible
403,159,531,0,1,Vible
404,159,616,0,1,Vible
405,159,702,0,1,Vible
406,159,840,0,1,Vible
407,159,852,0,1,Vible
408,159,909,0,1,Vible
409,160,1,0,1,Vible
410,160,18,0,1,Vible
411,160,26,1,0,Vible
412,160,47,1,0,Vible
413,160,155,1,0,Vible
414,160,167,1,0,Vible
415,160,194,1,0,Vible
416,161,1,0,1,Vible
417,161,5,0,1,Vible
418,161,26,1,1,Vible
419,161,47,1,0,Vible
420,161,149,1,1,Vible
421,161,151,1,1,Vible
422,161,155,1,0,Vible
423,161,167,1,0,Vible
424,161,174,1,0,Vible
425,161,175,1,0,Vible
426,161,184,1,0,Vible
427,161,240,1,0,Vible
428,161,353,1,0,Vible
429,161,355,1,0,Vible
430,161,359,1,0,Vible
431,161,368,1,0,Vible
432,161,419,0,1,Vible
433,161,494,0,1,Vible
434,161,520,0,1,Vible
435,163,47,1,1,Vible
436,163,148,1,0,Vible
437,163,152,1,0,Vible
438,163,155,1,0,Vible
439,163,167,1,0,Vible
440,163,192,1,0,Vible
441,163,210,1,1,Vible
442,164,1,0,1,Vible
443,164,9,0,1,Vible
444,164,47,1,1,Vible
445,165,152,1,0,Vible
446,165,155,1,0,Vible
447,166,19,0,1,Vible
448,167,18,0,1,Vible
449,168,9,0,1,Vible
450,169,9,0,1,Vible
451,169,187,0,1,Vible
452,169,192,1,0,Vible
453,171,1,0,1,Vible
454,171,148,1,0,Vible
455,171,167,1,0,Vible
456,171,192,1,1,Vible
457,173,5,0,1,Vible
458,173,47,1,0,Vible
459,173,149,1,0,Vible
460,173,152,1,0,Vible
461,173,155,1,0,Vible
462,173,167,1,0,Vible
463,173,192,1,0,Vible
464,173,194,1,0,Vible
465,173,348,1,0,Vible
466,173,361,1,0,Vible
467,173,520,0,1,Vible
468,173,770,0,1,Vible
469,173,802,0,1,Vible
470,173,840,0,1,Vible
471,173,864,0,1,Vible
472,173,868,0,1,Vible
473,175,19,0,1,Vible
474,175,167,1,0,Vible
475,175,187,0,1,Vible
476,177,5,0,1,Vible
477,177,47,1,0,Vible
478,177,149,1,1,Vible
479,177,152,1,0,Vible
480,177,167,1,0,Vible
481,177,194,1,0,Vible
482,177,243,1,0,Vible
483,186,172,1,0,E/ACC
484,189,5,0,1,E/ACC
485,189,18,0,1,E/ACC
486,189,172,1,0,E/ACC
487,190,5,0,1,E/ACC
488,190,18,0,1,E/ACC
489,191,172,1,1,E/ACC
490,193,148,1,0,E/ACC
491,193,172,1,1,E/ACC
492,207,5,0,1,E/ACC
493,211,47,1,0,Vible
494,212,47,1,0,Vible
495,213,47,1,0,Vible
496,213,152,1,0,Vible
497,216,5,0,1,Vible
498,228,18,0,1,E/ACC
499,247,192,1,0,Vible
500,252,19,0,1,Vible
501,252,47,1,0,Vible
502,258,172,1,0,E/ACC
503,259,172,1,0,E/ACC
504,269,169,0,1,E/ACC
505,296,18,0,1,E/ACC
506,298,18,0,1,E/ACC
507,298,39,0,1,E/ACC
508,358,1,0,1,Vible
509,359,9,0,1,Vible
510,359,18,0,1,Vible
511,359,167,1,0,Vible
512,362,152,1,0,Vible
513,362,155,1,0,Vible
514,362,167,1,0,Vible
515,362,192,1,0,Vible
516,362,194,1,0,Vible
517,363,47,1,0,Vible
518,363,152,1,0,Vible
519,363,192,1,0,Vible
520,363,243,1,0,Vible
521,364,47,1,1,Vible
522,365,9,0,1,Vible
523,366,9,0,1,Vible
524,370,5,0,1,E/ACC
525,371,5,0,1,E/ACC
526,373,179,1,0,E/ACC
527,376,9,0,1,Vible
528,377,5,0,1,Vible
529,377,47,1,0,Vible
530,377,159,1,0,Vible
531,378,18,0,1,Vible
532,379,47,1,0,Vible
533,379,152,1,0,Vible
534,383,9,0,1,Vible
535,386,47,1,0,Vible
536,387,47,1,0,Vible
537,388,9,0,1,Vible
538,390,47,1,0,Vible
539,390,170,0,1,Vible
540,391,165,1,0,E/ACC
541,392,26,1,0,E/ACC
542,393,26,1,0,E/ACC
543,393,165,1,0,E/ACC
544,394,26,1,0,E/ACC
545,397,173,1,0,E/ACC
546,404,39,1,0,E/ACC
547,411,149,1,0,E/ACC
548,412,47,1,1,Vible
549,413,47,1,0,Vible
550,414,47,1,0,Vible
551,415,18,0,1,Vible
552,415,26,1,0,Vible
553,415,47,1,0,Vible
554,415,141,1,0,Vible
555,415,151,1,0,Vible
556,415,155,1,1,Vible
557,415,166,1,0,Vible
558,415,167,1,1,Vible
559,415,184,1,0,Vible
560,415,203,1,1,Vible
561,415,260,0,1,Vible
562,415,289,1,0,Vible
563,415,345,1,0,Vible
564,415,355,1,0,Vible
565,415,358,1,0,Vible
566,416,1,0,1,Vible
567,417,18,0,1,Vible
568,422,18,0,1,Vible
569,422,47,1,0,Vible
570,422,161,1,0,Vible
571,423,18,0,1,Vible
572,423,47,1,1,Vible
573,424,18,0,1,Vible
574,425,18,0,1,Vible
575,426,1,0,1,Vible
576,426,18,0,1,Vible
577,426,47,1,0,Vible
578,426,152,1,0,Vible
579,426,167,1,0,Vible
580,427,18,0,1,Vible
581,427,47,1,1,Vible
